SENĆOŦEN,SEN Unicode,Songhees Lək̓ʷəŋən,LKW-S Unicode,Xwlemiʼ Chosen,XWL Unicode,Xws7ameshqen,XWS Unicode,Xʷsépsəm Lək̓ʷə́ŋən,LKW-E Unicode
P,50,p,70,p,70,p,70,p,70
T,54,t,74,t,74,t,74,t,74
C,43,k,6B,k,6B,k,6B,k,6B
Ŧ,166,θ,3B8,s,73,s,73,s,73
S,53,s,73,s,73,s,73,s,73
Ś,15A,š,161,sh,73 68,sh,73 68,š,161
Ć,106,č,10D,ch,63 68,ch,63 68,č,10D
H,48,h,68,h,68,h,68,h,68
L,4C,l,6C,l,6C,l,6C,l,6C
Y,59,y,79,y,79,y,79,y,79
W,57,w,77,w,77,w,77,w,77
M,4D,m,6D,m,6D,m,6D,m,6D
N,4E,n,6E,n,6E,n,6E,n,6E
Ṉ,1E48,ŋ,14B,ng,6E 67,ng,6E 67,ŋ,14B
Ȼ,23B,kʷ,6B 2B7,kw,6B 77,kw,6B 77,kʷ,6B 2B7
Ḵ,1E34,q,71,q,71,q,71,q,71
Ḱ,1E30,qʷ,71 2B7,qw,71 77,qw,71 77,qʷ,71 2B7
W̱,57 331,xʷ,78 2B7,xw,78 77,xw,78 77,xʷ,78 2B7
X,58,x̣,78 323,x,78,x̲,58 332,x̣,78 323
X̱,58 331,x̣ʷ,78 323 2B7,xw,78 77,x̲w,58 332 77,x̣ʷ,78 323 2B7
Á,C1,e,65,e,65,e,65,e,65,e,65
Ⱥ,23A,ey,65 79,ey,65 79,ey,65 79,ey,65 79
Í,CD,əy,259 79,ay,61 79,ay,61 79,əy,259 79
E,45,ə,259,u,75,u,75,ə,259
A,41,a,61,a,61,a,61,a,61
I,49,i,69,i,69,i,69,i,69
O,4F,o,6F,o,6F,o,6F,o,6F
U,55,u,75,ou,6F 75,u,75,u,75
¸,B8,ʔ,294,ʼ,02BC,7,37,ʔ,294
Ƚ,23D,ɬ,26C,lh,6C 68,lh,6C 68,ɬ,26C
Ⱦ,23E,t̓ᶿ,74 313 1DBF,tsʼ,74 73 02BC,tsʼ,74 73 02BC,c̓,63 313
B,42,p̓,70 313,pʼ,70 02BC,pʼ,70 02BC,p̓,70 313
D,44,t̓,74 313,tʼ,74 02BC,tʼ,74 02BC,t̓,74 313
G,47,k̓,6B 313,kʼ,6B 02BC,kʼ,6B 02BC,k̓,6B 313
Q,51,k̓ʷ,6B 313 2B7,kwʼ,6B 77 02BC,kwʼ,6B 77 02BC,k̓ʷ,6B 313 2B7
K,4B,q̓,71 313,qʼ,71 02BC,qʼ,71 02BC,q̓,71 313
₭,20AD,q̓ʷ,71 313 2B7,qwʼ,71 77 02BC,qwʼ,71 77 02BC,q̓ʷ,71 313 2B7
Ṯ,1E6E,ƛ̓,19B 313,tlʼ,74 6C 02BC,tlʼ,74 6C 02BC,ƛ̓,19B 313
J,4A,č̓,10D 313,chʼ,63 68 02BC,chʼ,63 68 02BC,č̓,10D 313
U¸,55 B8,uʔ,75 294,uʼ,75 02BC,uʼ,75 02BC,əw̓,259 77 313
TŦ,54 166,tθ,74 3B8,ts,74 73,ts,74 73,c,63
