IPA,NAPA,XWS,SEN,LEK-S,LEK-X,XWL,Type
ʔ ,ʔ ,7,¸,ʔ ,ʔ ,,glottal
æ,æ,a,A,e,e,e,vowel
e,e,a,Á,e,e,e,vowel
eː,e·,a:,ÁÁ,ee,ee,ee,vowel
ew,ew,aw,AU,ew,ew,ew,vowel
ew,ew,aw,ÁU,ew,ew,ew,vowel
ej,ey,ay,Ⱥ,ey,ey,ey,vowel
eˀj,ey̓,ay',Ⱥ¸,ey̓,ey̓,ey,vowel
t͡ʃ ,č,ch,Ć,č,č,ch,consonant
t͡ʃˈ,č̓,ch',J,č̓,č̓,ch',consonant
ə,ə,e,E,ə,ə,u,vowel
əː,ə·,e:,EE,əə,əə,uu,vowel
əw,əw,ew,EW,əw,əw,uw,vowel
əxʷ,əxʷ,exw,EW̱,əxʷ,əxʷ,uhw,vowel
əw,əw,ew,EU,əw,əw,uw,vowel
əw',əw̓,u7,EU¸,əw̓,əw̓,uw',vowel
əw',əw̓,u7,U¸,əw̓,əw̓,uw',vowel
əw',əw̓,u7,U¸,əw̓,əw̓,uw',vowel
əj,əy,ey,Í,əy,əy,uy,vowel
əˀj,əy̓,ey',Í¸,əy̓,əy̓,uy',vowel
h,h,h,H,h,h,h,consonant
i,i,i,I,i,i,i,vowel
iː,i·,i:,II,ii,ii,ii,vowel
iw,iw,iw,IW,iw,iw,iw,vowel
iw,iw,iw,IU,iw,iw,iw,vowel
ij,iy,iy,IY,iy,iy,iy,vowel
ij',iy̓,iy',I¸,iy̓,iy̓,i',vowel
ij',iy̓,i7,I¸,iy̓,iy̓,i',vowel
k,k,k,C,k,k,k,consonant
kʷ,kʷ,kw,Ȼ,kʷ,kʷ,kw,consonant
kʷˈ,k̓ʷ,kw',Q,k̓ʷ,k̓ʷ,kw',consonant
l,l,l,L,l,l,l,consonant
ˀl,l̕,l',L¸,l̕,l̕,l',consonant
ɬ,ɫ,lh,Ƚ,ɬ,ɬ,lh,consonant
m,m,m,M,m,m,m,consonant
ˀm,m̓,m',M¸,m̓,m̓,m',consonant
n,n,n,N,n,n,n,consonant
ˀn,n̓,n',N¸,n̓,n̓,n',consonant
ɴ,ŋ,ng,Ṉ,ŋ,ŋ,ng,consonant
ˀɴ,ŋ̓,ng',Ṉ¸,ŋ̓,ŋ̓,ng',consonant
ɑ,a,o,O,a,a,a,vowel
ɔ,ɔ,o,O,a,a,a,vowel
ɑː,a·,o:,OO,aa,aa,aa,vowel
ɑw,aw,ow,OU,aw,aw,aw,vowel
ɑj,ay,oy,Í,ay,ay,ay,vowel
p,p,p,P,p,p,p,consonant
pˈ,p̓,p',B,p̓,p̓,p',consonant
q,q,q,Ḵ,q,q,q,consonant
qˈ,q̓,q',K,q̓,q̓,q',consonant
qʷ,qʷ,qw,Ḱ,qʷ,qʷ,qw,consonant
qʷ',q̓ʷ,qw',₭,q̓ʷ,q̓ʷ,qw',consonant
s,s,s,S,s,s,s,consonant
ʃ,š,sh,Ś,š,š,sh,consonant
t,t,t,T,t,t,t,consonant
tˈ,t̕,t',D,t̕,t̕,t',consonant
θ,θ,s,Ŧ,θ,s,s,consonant
θ,θ,th,Ŧ,θ,s,th,consonant
tθ,tθ,ts,TŦ,tθ,c,ts,consonant
t̕ᶿ,θ̓,ts',Ⱦ,t̓ᶿ,c̓,ts',consonant
t̕ᶿ,θ̓,th',Ⱦ,t̓ᶿ,c̓,th',consonant
t͡ɫˈ,ƛ̓,tl',Ṯ,ƛ̓,ƛ̓,tl',consonant
u,u,u,U,u,u,oo,vowel
uː,u·,u:,UU,uu,uu,oo,vowel
w,w,w,W,w,w,w,consonant
ˀw,w̓,w',W¸,w̓,w̓,w',consonant
xʷ,xʷ,xw,W̱,xʷ,xʷ,hw,consonant
χ,x̣,x̱,X,x̣,x̣,x,consonant
χ,x̣,xh,X,x̣,x̣,x,consonant
χʷ,x̣ʷ,x̱w,X̱,x̣ʷ,x̣ʷ,xw,consonant
χʷ,x̣ʷ,xhw,X̱,x̣ʷ,x̣ʷ,xw,consonant
j,y,y,Y,y,y,y,consonant
ˀj,y̓,y',Y¸,y̓,y̓,y',consonant
