IPA,NAPA,XWS,SEN,LEK-S,LEK-X,XWL
ʔ ,ʔ ,7,¸,ʔ ,ʔ ,
æ,æ,a,A,e,e,e
e,e,a,Á,e,e,e
eː,e·,a:,ÁÁ,ee,ee,ee
ew,ew,aw,AU,ew,ew,ew
ew,ew,aw,ÁU,ew,ew,ew
ej,ey,ay,Ⱥ,ey,ey,ey
eˀj,ey̓,ay',Ⱥ¸,ey̓,ey̓,ey
t͡ʃ ,č,ch,Ć,č,č,ch'
t͡ʃˈ,č̓,ch',J,č̓,č̓,ch'
ə,ə,e,E,ə,ə,u
əː,ə·,e:,EE,əə,əə,uu
əw,əw,ew,EW,əw,əw,uw
əw,əw,ew,EU,əw,əw,uw
əw',əw̓,u7,EU¸,əw̓,əw̓,uw'
əw',əw̓,u7,U¸,əw̓,əw̓,uw'
əw',əw̓,u7,U¸,əw̓,əw̓,uw'
əj,əy,ey,Í,əy,əy,uy
əˀj,əy̓,ey',Í¸,əy̓,əy̓,uy'
h,h,h,H,h,h,h
i,i,i,I,i,i,i
iː,i·,i:,II,ii,ii,ii
iw,iw,iw,IW,iw,iw,iw
iw,iw,iw,IU,iw,iw,iw
ij,iy,iy,IY,iy,iy,iy
ij',iy̓,iy',I¸,iy̓,iy̓,i'
ij',iy̓,i7,I¸,iy̓,iy̓,i'
k,k,k,C,k,k,k
kʷ,kʷ,kw,Ȼ,kʷ,kʷ,kw
kʷˈ,k̓ʷ,kw',Q,k̓ʷ,k̓ʷ,kw'
l,l,l,L,l,l,l
ˀl,l̕,l',L¸,l̕,l̕,l'
ɬ,ɫ,lh,Ƚ,ɬ,ɬ,lh
m,m,m,M,m,m,m
ˀm,m̓,m',M¸,m̓,m̓,m'
n,n,n,N,n,n,n
ˀn,n̓,n',N¸,n̓,n̓,n'
ɴ,ŋ,ng,Ṉ,ŋ,ŋ,ng
ˀɴ,ŋ̓,ng',Ṉ¸,ŋ̓,ŋ̓,ng'
ɑ,a,o,O,a,a,a
ɔ,ɔ,o,O,a,a,a
ɑː,a·,o:,OO,aa,aa,aa
ɑw,aw,ow,OU,aw,aw,aw
ɑj,ay,oy,Í,ay,ay,ay
p,p,p,P,p,p,p
pˈ,p̓,p',B,p̓,p̓,p'
q,q,q,Ḵ,q,q,q
qˈ,q̓,q',K,q̓,q̓,q'
qʷ,qʷ,qw,Ḱ,qʷ,qʷ,qw
qʷ',q̓ʷ,qw',₭,q̓ʷ,q̓ʷ,qw'
s,s,s,S,s,s,s
ʃ,š,sh,Ś,š,š,sh
t,t,t,T,t,t,t
tˈ,t̕,t',D,t̕,t̕,t'
θ,θ,s,Ŧ,θ,s,s
θ,θ,th,Ŧ,θ,s,th
tθ,tθ,ts,TŦ,tθ,c,ts
t̕ᶿ,θ̓,ts',Ⱦ,t̓ᶿ,c̓,ts'
t̕ᶿ,θ̓,th',Ⱦ,t̓ᶿ,c̓,th'
t͡ɫˈ,ƛ̓,tl',Ṯ,ƛ̓,ƛ̓,tl'
u,u,u,U,u,u,oo
uː,u·,u:,UU,uu,uu,oo
w,w,w,W,w,w,w
ˀw,w̓,w',W¸,w̓,w̓,w'
xʷ,xʷ,xw,W̱,xʷ,xʷ,hw
χ,x̣,x̱,X,x̣,x̣,x
χ,x̣,xh,X,x̣,x̣,x
χʷ,x̣ʷ,x̱w,X̱,x̣ʷ,x̣ʷ,xw
χʷ,x̣ʷ,xhw,X̱,x̣ʷ,x̣ʷ,xw
j,y,y,Y,y,y,y
ˀj,y̓,y',Y¸,y̓,y̓,y'
